park_id,Season,Weekday,Weekend,Holiday,time_period
B059,Spring,0.949490955562407,0.0,0.0,6:00-6:30
B059,Spring,2.933656956792382,1.8066414340460484,0.0,6:30-7:00
B059,Spring,12.055626410614586,9.53138404407018,0.0,7:00-7:30
B059,Spring,17.475204435963686,10.37768451649707,0.0,7:30-8:00
B059,Spring,38.69747000618733,11.223984988923954,0.0,8:00-8:30
B059,Spring,61.36059329562875,54.65540497815054,0.0,8:30-9:00
B059,Spring,74.83941730921981,75.39276761811432,0.0,9:00-9:30
B059,Spring,81.04538992249097,90.14600564098869,0.0,9:30-10:00
B059,Spring,74.39895323355411,75.62084859649886,0.0,10:00-10:30
B059,Spring,74.75319438874752,70.2249328184012,16.475849622778746,10:30-11:00
B059,Spring,66.56928875644924,57.842536544524144,0.0,11:00-11:30
B059,Spring,80.27665545081025,65.16813744237531,0.0,11:30-12:00
B059,Spring,82.51221840088715,88.97559009401533,0.0,12:00-12:30
B059,Spring,107.46700148023086,64.38485934555467,45.21405289923216,12:30-13:00
B059,Spring,109.02836352203641,74.34239469134336,51.77738315879812,13:00-13:30
B059,Spring,113.37690743886817,86.12457786420846,16.691926339143055,13:30-14:00
B059,Spring,106.14145393176517,87.05490817077703,0.0,14:00-14:30
B059,Spring,103.75629940882065,84.36895454374842,0.0,14:30-15:00
B059,Spring,109.11562527287585,70.41399994521998,8.318953580025989,15:00-15:30
B059,Spring,109.1052369692045,50.97009653793701,97.23452236394013,15:30-16:00
B059,Spring,107.73294205421769,77.34946232741338,97.23452236394013,16:00-16:30
B059,Spring,90.7241724530981,38.60870772259537,97.23452236394013,16:30-17:00
B059,Spring,67.8252346703168,14.243056887014195,97.23452236394013,17:00-17:30
B059,Spring,55.7664917686008,10.80383581821557,97.23452236394013,17:30-18:00
B059,Spring,33.396318642691746,10.80383581821557,97.23452236394013,18:00-18:30
B059,Spring,28.59276702505436,14.489144258429103,97.23452236394013,18:30-19:00
B059,Spring,32.714845921850454,4.921747428298205,97.23452236394013,19:00-19:30
B059,Spring,22.582094520804816,14.78624974343003,97.23452236394013,19:30-20:00
B059,Spring,19.407428918836857,16.205753727323355,89.34772221664277,20:00-20:30
B059,Spring,21.825826013529724,16.205753727323355,0.0,20:30-21:00
B059,Spring,18.367559721333606,13.477785183223926,16.529868801869824,21:00-21:30
B059,Spring,13.87461838346992,0.0,0.0,21:30-22:00
B059,Summer,3.076035518808924,0.0,32.73562252919318,6:00-6:30
B059,Summer,0.6400763107395641,0.0,0.0,6:30-7:00
B059,Summer,0.0,0.0,0.0,7:00-7:30
B059,Summer,3.2768237882606654,7.692331102569486,0.0,7:30-8:00
B059,Summer,9.173068147541523,66.78931302820865,0.0,8:00-8:30
B059,Summer,40.56330734842861,81.90027805928618,170.91668264417035,8:30-9:00
B059,Summer,83.58703541998666,58.89531032369914,194.46904472788026,9:00-9:30
B059,Summer,89.10310706604166,77.78761789115212,112.14381579307762,9:30-10:00
B059,Summer,96.36410011971786,77.78761789115212,0.0,10:00-10:30
B059,Summer,97.68196424358133,88.60585882379196,0.0,10:30-11:00
B059,Summer,103.29893963925925,92.94179826550248,0.0,11:00-11:30
B059,Summer,106.67055179837787,120.91653047746867,0.0,11:30-12:00
B059,Summer,122.47880590597441,136.1283313095162,0.0,12:00-12:30
B059,Summer,128.80006908942468,76.01578881696476,0.0,12:30-13:00
B059,Summer,123.30438203925314,80.46696917406956,0.0,13:00-13:30
B059,Summer,120.12336585164456,73.49489379271445,0.0,13:30-14:00
B059,Summer,124.95859199519313,57.77891395581688,0.0,14:00-14:30
B059,Summer,107.51447406795167,64.39086147656481,32.519545812828866,14:30-15:00
B059,Summer,100.9088457719276,61.160514566918344,0.0,15:00-15:30
B059,Summer,99.59709702682918,28.558139346149826,0.0,15:30-16:00
B059,Summer,100.17601954991844,19.44690447278803,0.0,16:00-16:30
B059,Summer,89.10514552563001,39.095480547516075,0.0,16:30-17:00
B059,Summer,83.73788142952405,37.237220786783,0.0,17:00-17:30
B059,Summer,57.113560746181854,23.617185098619235,0.0,17:30-18:00
B059,Summer,48.92608780960397,31.215882957430853,0.0,18:00-18:30
B059,Summer,43.70661203365284,24.72637890928937,0.0,18:30-19:00
B059,Summer,54.40037103409791,12.964602981858684,0.0,19:00-19:30
B059,Summer,54.16594818143852,4.465585471529102,0.0,19:30-20:00
B059,Summer,45.61970635731233,0.0,0.0,20:00-20:30
B059,Summer,28.968549209936125,6.525516834202205,0.0,20:30-21:00
B059,Summer,21.250941208471193,14.639197533682099,0.0,21:00-21:30
B059,Summer,15.575869714525503,26.004832814444878,0.0,21:30-22:00
B059,Autumn,0.5864939444174168,0.0,0.0,6:00-6:30
B059,Autumn,1.2289363243220213,0.0,0.0,6:30-7:00
B059,Autumn,6.889374590508537,12.010264151249643,0.0,7:00-7:30
B059,Autumn,13.468138901243375,36.12082441890072,47.131733756965424,7:30-8:00
B059,Autumn,4.66590659399185,61.79193874918295,1.5935657831867966,8:00-8:30
B059,Autumn,29.660387833793955,52.95380083678159,0.0,8:30-9:00
B059,Autumn,57.867080973119094,90.17001416502919,0.0,9:00-9:30
B059,Autumn,64.46224396322087,86.2926375324918,0.0,9:30-10:00
B059,Autumn,66.44551953842188,87.75115536795091,0.0,10:00-10:30
B059,Autumn,63.737808186481594,98.27589209419591,0.0,10:30-11:00
B059,Autumn,59.27350888588323,109.89301666428271,0.0,11:00-11:30
B059,Autumn,70.70628228923063,91.33442758099241,70.33297117658337,11:30-12:00
